filename	reference_text	transcribed_text
common_voice_he_42922381	אלא מבטאים גם הישגים בתחומי הספורט והאמנות	אלה מבטאים גם הישגים בתחומי הספורט והאומנות
common_voice_he_41896622	יום הזיכרון הוא יום של משפחת השכול כולה	יום הזיכרון הוא יום של משפחת השכול כולה
common_voice_he_42358470	והם נמצאים במקום הזה לא בהתלהבות ולא בשמחה	והם נמצאים במקום הזה לא בהתלהבות ולא בשמחה
common_voice_he_43313168	אז לצערי אנחנו לא יכולים לעשות הרבה	אז לצערי אנחנו לא יכולים לעשות הרבה
common_voice_he_40977318	העיר הפתוחה אז לפני כשנתיים ומשהו	העיר הפתוחה אז לפני כשנתיים ומשהו
common_voice_he_42402440	הוא אמר אני מחלק סכים פתוחים	הוא אמר אני מחלק סכים פתוחים
common_voice_he_43281947	זו חוויה לא הכי נעימה בעולם	זו חבירה לא הכי נעימה בעולם
common_voice_he_43281958	המספרים שהתפרסמו בתקשורת הם לא נכונים	המספרים שהתפרסמו בתקשורת הם לא נכונים
common_voice_he_42487978	אני רץ למכולת אני לא יכול לדבר	אני רץ למכולת אני לא יכול לדבר
common_voice_he_42487979	שילדים קטנים ובני נוער צורכים סמים	שילדים קטנים ובני נוער צורכים סמים
common_voice_he_41019361	זר הוא תאגיד שהשליטה בו היא בידי זר	זר הוא תאגיד שהשליטה בו היא בידי זר
common_voice_he_41019364	הארכת חיים מצילות חיים מאריכות חיים	הערכת חיים מצילות חיים מאריכות חיים
common_voice_he_41616556	קווי רכבת כמו אשקלון שדרות באר שבע	קווי רכבת כמו אשקלון שדרות באר שבע
common_voice_he_41616557	יהדות התורה מציעה שינוי במדיניות הכלכלית החברתית	יהדות התורה מציעה שינוי במדיניות הכלכלית החברתית
common_voice_he_41616558	מכרסם בזניך במשך שעות תמימות ללא הפסקה	מכרסם באוזניך במשך שעות תמימות ללא הפסקה
common_voice_he_39350850	גם הורדו טיפוליו לרמת קופת חולים	גם הורדו טיפוליו לרמת קופת חולים
common_voice_he_39350851	הטנור שלנו שכח את קולו בביתו	הטנור שלנו שכח את קולו בבית
common_voice_he_39350852	יש שם קבוצה מעורבת מעבריינים מהסוגים השונים	יש שם קבוצה מעורבת מעבריינים מהסוגים השונים
common_voice_he_40630793	קניון הדר הוא נקודת החלפה בין אוטובוסים שונים	קניון הדר הוא נקודת החלפה בין אוטובוסים שונים
common_voice_he_40630794	שבארצות הברית למשל יש בחינה פעם אחת בשנה	כשבארצות הברית למשל יש בחינה פעם אחת בשנה
common_voice_he_40630795	אני לא מכיר מנגנון כזה בשום תחום	אני לא מכיר מנגנון כזה בשום תחום
common_voice_he_41066670	גם החישובים מבחינה פיננסית זה צחוק	גם החישובים מבחינה פיננסית זה צחוק
common_voice_he_41066672	בוא ניתן לזה קצת זמן ונראה איך הדברים מתנהלים	בוא ניתן לזה קצת זמן ונראה איך הדברים מתנהלים
common_voice_he_41066673	מתנהלת בפומבי בבית משפט בדלתיים פתוחות	מתנהלת בפומבי בבית משפט בדלתיים פתוחות
common_voice_he_40858574	שלא זו בלבד שזה לא מביא צמיחה	שלא זו בלבד שזה לא מביא צמיחה
common_voice_he_40858577	הכרה זו אינה פוטרת את הספורטאים משירות	הכרה זו אינה פוטרת את הספורטאים משירות
